rname,totallength,reference,ani_group
NC_007368.1,1467,N2 (NC_007368.1),18
NC_007382.1,1410,N2 (NC_007382.1),18
KX879567.1,1425,N3 (KX879567.1),63
OL782160.1,1453,N3 (OL782160.1),63
CY195907.1,1438,N4 (CY195907.1),64
AB270598.1,925,N5 (AB270598.1),65
GU053446.1,1439,N6 (GU053446.1),66
DQ266095.1,1461,N7 (DQ266095.1),67
KC876685.1,1442,N7 (KC876685.1),67
KM244102.1,1413,N7 (KM244102.1),67
KX024585.1,1436,N7 (KX024585.1),67
KY550819.1,1433,N7 (KY550819.1),67
KY550859.1,1433,N7 (KY550859.1),67
KY550874.1,1433,N7 (KY550874.1),67
KY550985.1,1433,N7 (KY550985.1),67
KY551033.1,1433,N7 (KY551033.1),67
KY551041.1,1433,N7 (KY551041.1),67
KY551049.1,1433,N7 (KY551049.1),67
KY551057.1,1436,N7 (KY551057.1),67
KY551161.1,1433,N7 (KY551161.1),67
KY551169.1,1433,N7 (KY551169.1),67
KY551318.1,1433,N7 (KY551318.1),67
KY551357.1,1433,N7 (KY551357.1),67
KY551365.1,1433,N7 (KY551365.1),67
KY575230.1,1437,N7 (KY575230.1),67
CY098526.1,1413,N8 (CY098526.1),68
NC_026429.1,1398,N9 (NC_026429.1),15
