reference,assembly_accession,species_taxid,taxid,organism_name,strain,bioproject,biosample,assembly_level,genome_size,contig_count,taxonomy,download
M.colombiense,GCF_000222105.3,339268,1041522,Mycobacterium colombiense CECT 3035,strain=CECT 3035,PRJNA224116,SAMN00622208,Contig,5579559.0,17.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium colombiense;x__Mycobacterium colombiense CECT 3035,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/105/GCF_000222105.3_ASM22210v4/GCF_000222105.3_ASM22210v4_genomic.fna.gz ./GCF_000222105.3_genomic.fna.gz
M.conceptionense,GCF_002102065.1,451644,451644,Mycolicibacterium conceptionense,strain=CCUG 50187,PRJNA224116,SAMN04216919,Contig,6468817.0,42.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium conceptionense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/065/GCF_002102065.1_ASM210206v1/GCF_002102065.1_ASM210206v1_genomic.fna.gz ./GCF_002102065.1_genomic.fna.gz
M.confluentis,GCF_010729895.1,28047,28047,Mycolicibacterium confluentis,strain=JCM 13671,PRJNA224116,SAMD00153189,Complete Genome,5876557.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium confluentis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/895/GCF_010729895.1_ASM1072989v1/GCF_010729895.1_ASM1072989v1_genomic.fna.gz ./GCF_010729895.1_genomic.fna.gz
M.conspicuum,GCF_010730195.1,44010,44010,Mycobacterium conspicuum,strain=JCM 14738,PRJNA224116,SAMD00153191,Complete Genome,6237139.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium conspicuum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/195/GCF_010730195.1_ASM1073019v1/GCF_010730195.1_ASM1073019v1_genomic.fna.gz ./GCF_010730195.1_genomic.fna.gz
M.cookii,GCF_010727945.1,1775,1775,Mycobacterium cookii,strain=JCM 12404,PRJNA224116,SAMD00153177,Complete Genome,5318517.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium cookii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/945/GCF_010727945.1_ASM1072794v1/GCF_010727945.1_ASM1072794v1_genomic.fna.gz ./GCF_010727945.1_genomic.fna.gz
M.cosmeticum,GCF_000613185.1,258533,258533,Mycolicibacterium cosmeticum,strain=DSM 44829,PRJNA224116,SAMEA3138996,Contig,6462090.0,5.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium cosmeticum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/185/GCF_000613185.1_PRJEB5748_assembly_1/GCF_000613185.1_PRJEB5748_assembly_1_genomic.fna.gz ./GCF_000613185.1_genomic.fna.gz
M.crassicus,GCF_020181615.2,2872309,2872309,[Mycobacterium] crassicus,strain=MYC098,PRJNA224116,SAMN20959234,Contig,5180050.0,58.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__[Mycobacterium] crassicus,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/181/615/GCF_020181615.2_ASM2018161v2/GCF_020181615.2_ASM2018161v2_genomic.fna.gz ./GCF_020181615.2_genomic.fna.gz
M.crocinum,GCF_022370635.2,388459,388459,Mycolicibacterium crocinum,strain=JCM 16369,PRJNA224116,SAMN20254251,Complete Genome,6183573.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium crocinum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/635/GCF_022370635.2_ASM2237063v3/GCF_022370635.2_ASM2237063v3_genomic.fna.gz ./GCF_022370635.2_genomic.fna.gz
M.decipiens,GCF_002104675.1,1430326,1430326,Mycobacterium decipiens,strain=TBL 1200985,PRJNA224116,SAMN06651657,Contig,5225940.0,142.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium decipiens,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/104/675/GCF_002104675.1_ASM210467v1/GCF_002104675.1_ASM210467v1_genomic.fna.gz ./GCF_002104675.1_genomic.fna.gz
M.deserti,GCF_025345615.1,2978347,2978347,Mycobacterium deserti,strain=CPCC 205710,PRJNA224116,SAMN30822140,Scaffold,5632578.0,14.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium deserti,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/345/615/GCF_025345615.1_ASM2534561v1/GCF_025345615.1_ASM2534561v1_genomic.fna.gz ./GCF_025345615.1_genomic.fna.gz
M.diernhoferi,GCF_019456655.1,1801,1801,Mycolicibacterium diernhoferi,strain=ATCC 19340,PRJNA224116,SAMN20254259,Complete Genome,5998503.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium diernhoferi,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/456/655/GCF_019456655.1_ASM1945665v1/GCF_019456655.1_ASM1945665v1_genomic.fna.gz ./GCF_019456655.1_genomic.fna.gz
M.dioxanotrophicus,GCF_002157835.1,482462,482462,Mycobacterium dioxanotrophicus,strain=PH-06,PRJNA224116,SAMN06134492,Complete Genome,8080416.0,5.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium dioxanotrophicus,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/835/GCF_002157835.1_ASM215783v1/GCF_002157835.1_ASM215783v1_genomic.fna.gz ./GCF_002157835.1_genomic.fna.gz
M.doricum,GCF_010728155.1,126673,126673,Mycolicibacterium doricum,strain=JCM 12405,PRJNA224116,SAMD00153178,Complete Genome,4029398.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium doricum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/155/GCF_010728155.1_ASM1072815v1/GCF_010728155.1_ASM1072815v1_genomic.fna.gz ./GCF_010728155.1_genomic.fna.gz
M.duvalii,GCF_010726645.1,39688,39688,Mycolicibacterium duvalii,strain=JCM 6396,PRJNA224116,SAMD00153169,Complete Genome,5657388.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium duvalii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/645/GCF_010726645.1_ASM1072664v1/GCF_010726645.1_ASM1072664v1_genomic.fna.gz ./GCF_010726645.1_genomic.fna.gz
M.elephantis,GCF_001667535.1,81858,81858,Mycolicibacterium elephantis,strain=852002-10318_SCH4845932,PRJNA224116,SAMN04696136,Contig,5223216.0,48.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium elephantis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/535/GCF_001667535.1_ASM166753v1/GCF_001667535.1_ASM166753v1_genomic.fna.gz ./GCF_001667535.1_genomic.fna.gz
M.engbaekii,GCF_002101585.1,188915,188915,Mycolicibacter engbaekii,strain=ATCC 27353,PRJNA224116,SAMN04216923,Contig,4521435.0,79.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter engbaekii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/585/GCF_002101585.1_ASM210158v1/GCF_002101585.1_ASM210158v1_genomic.fna.gz ./GCF_002101585.1_genomic.fna.gz
M.europaeum,GCF_034555895.2,761804,761804,Mycobacterium europaeum,strain=050079,PRJNA224116,SAMN38872439,Complete Genome,6268691.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium europaeum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/555/895/GCF_034555895.2_ASM3455589v2/GCF_034555895.2_ASM3455589v2_genomic.fna.gz ./GCF_034555895.2_genomic.fna.gz
M.fallax,GCF_010726955.1,1793,1793,Mycolicibacterium fallax,strain=JCM 6405,PRJNA224116,SAMD00153171,Complete Genome,4156821.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium fallax,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/955/GCF_010726955.1_ASM1072695v1/GCF_010726955.1_ASM1072695v1_genomic.fna.gz ./GCF_010726955.1_genomic.fna.gz
M.farcinogenes,GCF_019739075.1,1802,1802,Mycolicibacterium farcinogenes,strain=BKK/CU-MFGFA-001,PRJNA224116,SAMN20463126,Complete Genome,6607534.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium farcinogenes,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/739/075/GCF_019739075.1_ASM1973907v1/GCF_019739075.1_ASM1973907v1_genomic.fna.gz ./GCF_019739075.1_genomic.fna.gz
M.flavescens,GCF_025822705.1,1776,1776,Mycolicibacterium flavescens,strain=DSM 43991,PRJNA224116,SAMN15568943,Scaffold,5973602.0,47.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium flavescens,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/705/GCF_025822705.1_ASM2582270v1/GCF_025822705.1_ASM2582270v1_genomic.fna.gz ./GCF_025822705.1_genomic.fna.gz
M.florentinum,GCF_010730355.1,292462,292462,Mycobacterium florentinum,strain=JCM 14740,PRJNA224116,SAMD00153192,Complete Genome,6219859.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium florentinum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/355/GCF_010730355.1_ASM1073035v1/GCF_010730355.1_ASM1073035v1_genomic.fna.gz ./GCF_010730355.1_genomic.fna.gz
M.fluoranthenivorans,GCF_014295435.1,258505,258505,Mycolicibacterium fluoranthenivorans,strain=2A,PRJNA224116,SAMN15486235,Chromosome,7117477.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium fluoranthenivorans,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/295/435/GCF_014295435.1_ASM1429543v1/GCF_014295435.1_ASM1429543v1_genomic.fna.gz ./GCF_014295435.1_genomic.fna.gz
M.fortuitum,GCF_022179545.1,1766,144549,Mycolicibacterium fortuitum subsp. fortuitum,strain=JCM 6387,PRJNA224116,SAMD00436749,Complete Genome,6406072.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium fortuitum;x__Mycolicibacterium fortuitum subsp. fortuitum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/179/545/GCF_022179545.1_ASM2217954v1/GCF_022179545.1_ASM2217954v1_genomic.fna.gz ./GCF_022179545.1_genomic.fna.gz
M.fortunisiensis,GCF_019050325.1,2600579,2600579,[Mycobacterium] fortunisiensis,strain=TNTM28,PRJNA224116,SAMN12436392,Scaffold,5490222.0,28.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__[Mycobacterium] fortunisiensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/050/325/GCF_019050325.1_ASM1905032v1/GCF_019050325.1_ASM1905032v1_genomic.fna.gz ./GCF_019050325.1_genomic.fna.gz
M.fragae,GCF_002102185.1,1260918,1260918,Mycobacterium fragae,strain=DSM 45731,PRJNA224116,SAMN04216927,Contig,4731047.0,35.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fragae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/185/GCF_002102185.1_ASM210218v1/GCF_002102185.1_ASM210218v1_genomic.fna.gz ./GCF_002102185.1_genomic.fna.gz
M.franklinii,GCF_001853795.1,948102,948102,Mycobacteroides franklinii,strain=1559,PRJNA224116,SAMN05897992,Contig,5023635.0,28.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides franklinii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/853/795/GCF_001853795.1_ASM185379v1/GCF_001853795.1_ASM185379v1_genomic.fna.gz ./GCF_001853795.1_genomic.fna.gz
M.frederiksbergense,GCF_012223425.1,117567,117567,Mycolicibacterium frederiksbergense,strain=LB 501T,PRJNA224116,SAMN10915336,Chromosome,6713618.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium frederiksbergense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/223/425/GCF_012223425.1_ASM1222342v1/GCF_012223425.1_ASM1222342v1_genomic.fna.gz ./GCF_012223425.1_genomic.fna.gz
M.gadium,GCF_010728925.1,1794,1794,Mycolicibacterium gadium,strain=JCM 12688,PRJNA224116,SAMD00153182,Complete Genome,5964999.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium gadium,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/925/GCF_010728925.1_ASM1072892v1/GCF_010728925.1_ASM1072892v1_genomic.fna.gz ./GCF_010728925.1_genomic.fna.gz
M.gallinarum,GCF_010726765.1,39689,39689,Mycobacterium gallinarum,strain=JCM 6399,PRJNA224116,SAMD00153170,Complete Genome,6301681.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium gallinarum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/765/GCF_010726765.1_ASM1072676v1/GCF_010726765.1_ASM1072676v1_genomic.fna.gz ./GCF_010726765.1_genomic.fna.gz
M.gastri,GCF_002102175.1,1777,1777,Mycobacterium gastri,strain=DSM 43505,PRJNA224116,SAMN04216928,Contig,5816659.0,154.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium gastri,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/175/GCF_002102175.1_ASM210217v1/GCF_002102175.1_ASM210217v1_genomic.fna.gz ./GCF_002102175.1_genomic.fna.gz
M.genavense,GCF_000526915.1,36812,1408452,Mycobacterium genavense ATCC 51234,strain=ATCC 51234,PRJNA224116,SAMN02585006,Contig,4936071.0,25.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium genavense;x__Mycobacterium genavense ATCC 51234,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/915/GCF_000526915.1_ASM52691v1/GCF_000526915.1_ASM52691v1_genomic.fna.gz ./GCF_000526915.1_genomic.fna.gz
M.gilvum,GCF_000184435.1,1804,278137,Mycolicibacterium gilvum Spyr1,strain=Spyr1,PRJNA224116,SAMN00713568,Complete Genome,5783292.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium gilvum;x__Mycolicibacterium gilvum Spyr1,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/435/GCF_000184435.1_ASM18443v1/GCF_000184435.1_ASM18443v1_genomic.fna.gz ./GCF_000184435.1_genomic.fna.gz
M.goodii,GCF_022370755.2,134601,134601,Mycolicibacterium goodii,strain=ATCC 700504,PRJNA224116,SAMN20254253,Complete Genome,6741306.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium goodii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/755/GCF_022370755.2_ASM2237075v2/GCF_022370755.2_ASM2237075v2_genomic.fna.gz ./GCF_022370755.2_genomic.fna.gz
M.gordonae,GCF_002101675.1,1778,1778,Mycobacterium gordonae,strain=DSM 44160,PRJNA224116,SAMN04216929,Contig,7601632.0,260.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium gordonae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/675/GCF_002101675.1_ASM210167v1/GCF_002101675.1_ASM210167v1_genomic.fna.gz ./GCF_002101675.1_genomic.fna.gz
M.grossiae,GCF_008329645.1,1552759,1552759,Mycolicibacterium grossiae,strain=DSM 104744,PRJNA224116,SAMN12660232,Complete Genome,5681602.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium grossiae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/645/GCF_008329645.1_ASM832964v1/GCF_008329645.1_ASM832964v1_genomic.fna.gz ./GCF_008329645.1_genomic.fna.gz
M.hackensackense,GCF_025822555.1,228909,228909,Mycobacterium hackensackense,strain=DSM 44833,PRJNA224116,SAMN15568952,Contig,6709978.0,53.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium hackensackense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/555/GCF_025822555.1_ASM2582255v1/GCF_025822555.1_ASM2582255v1_genomic.fna.gz ./GCF_025822555.1_genomic.fna.gz
M.haemophilum,GCF_000340435.2,29311,1202450,Mycobacterium haemophilum DSM 44634,strain=ATCC 29548,PRJNA224116,SAMN01918491,Complete Genome,4235765.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium haemophilum;x__Mycobacterium haemophilum DSM 44634,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/435/GCF_000340435.2_ASM34043v3/GCF_000340435.2_ASM34043v3_genomic.fna.gz ./GCF_000340435.2_genomic.fna.gz
M.hassiacum,GCF_900603025.1,46351,1122247,Mycolicibacterium hassiacum DSM 44199,na,PRJNA224116,SAMEA4888736,Complete Genome,5269097.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium hassiacum;x__Mycolicibacterium hassiacum DSM 44199,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/603/025/GCF_900603025.1_MHAS/GCF_900603025.1_MHAS_genomic.fna.gz ./GCF_900603025.1_genomic.fna.gz
M.heckeshornense,GCF_016861545.1,110505,110505,Mycobacterium heckeshornense,strain=JMUB5695,PRJNA224116,SAMD00261041,Complete Genome,4865109.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium heckeshornense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/861/545/GCF_016861545.1_ASM1686154v1/GCF_016861545.1_ASM1686154v1_genomic.fna.gz ./GCF_016861545.1_genomic.fna.gz
M.heidelbergense,GCF_010730745.1,53376,53376,Mycobacterium heidelbergense,strain=JCM 14842,PRJNA224116,SAMD00153194,Complete Genome,5050576.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium heidelbergense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/745/GCF_010730745.1_ASM1073074v1/GCF_010730745.1_ASM1073074v1_genomic.fna.gz ./GCF_010730745.1_genomic.fna.gz
M.helveticum,GCF_007714185.1,2592811,2592811,Mycobacterium helveticum,strain=17-773,PRJNA224116,SAMN12284734,Contig,5772032.0,387.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium helveticum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/714/185/GCF_007714185.1_ASM771418v1/GCF_007714185.1_ASM771418v1_genomic.fna.gz ./GCF_007714185.1_genomic.fna.gz
M.helvum,GCF_010731895.1,1534349,1534349,Mycolicibacterium helvum,strain=JCM 30396,PRJNA224116,SAMD00153218,Complete Genome,6400811.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium helvum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/895/GCF_010731895.1_ASM1073189v1/GCF_010731895.1_ASM1073189v1_genomic.fna.gz ./GCF_010731895.1_genomic.fna.gz
M.heraklionensis,GCF_019645815.1,512402,512402,Mycolicibacter heraklionensis,strain=JCM 30995,PRJNA224116,SAMN20254261,Complete Genome,5061737.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter heraklionensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/815/GCF_019645815.1_ASM1964581v1/GCF_019645815.1_ASM1964581v1_genomic.fna.gz ./GCF_019645815.1_genomic.fna.gz
M.hiberniae,GCF_010729485.1,29314,29314,Mycolicibacter hiberniae,strain=JCM 13571,PRJNA224116,SAMD00153186,Complete Genome,4396654.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter hiberniae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/485/GCF_010729485.1_ASM1072948v1/GCF_010729485.1_ASM1072948v1_genomic.fna.gz ./GCF_010729485.1_genomic.fna.gz
M.hippocampi,GCF_010723735.1,659824,659824,Mycolicibacterium hippocampi,strain=JCM 30996,PRJNA224116,SAMD00153224,Contig,6160733.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium hippocampi,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/723/735/GCF_010723735.1_ASM1072373v1/GCF_010723735.1_ASM1072373v1_genomic.fna.gz ./GCF_010723735.1_genomic.fna.gz
M.hippophais,GCF_027529605.1,3016340,3016340,Mycobacterium hippophais,strain=CPCC 205372,PRJNA224116,SAMN32338864,Scaffold,5875958.0,40.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium hippophais,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/529/605/GCF_027529605.1_ASM2752960v1/GCF_027529605.1_ASM2752960v1_genomic.fna.gz ./GCF_027529605.1_genomic.fna.gz
M.hodleri,GCF_025822245.1,49897,49897,Mycolicibacterium hodleri,strain=DSM 44183,PRJNA224116,SAMN15568969,Scaffold,6529154.0,81.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium hodleri,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/245/GCF_025822245.1_ASM2582224v1/GCF_025822245.1_ASM2582224v1_genomic.fna.gz ./GCF_025822245.1_genomic.fna.gz
M.holsaticum,GCF_019645835.1,152142,1226752,Mycolicibacterium holsaticum DSM 44478 = JCM 12374,strain=JCM 12374,PRJNA224116,SAMN20254262,Complete Genome,5623714.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium holsaticum;x__Mycolicibacterium holsaticum DSM 44478 = JCM 12374,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/835/GCF_019645835.1_ASM1964583v1/GCF_019645835.1_ASM1964583v1_genomic.fna.gz ./GCF_019645835.1_genomic.fna.gz
